Código región,Código provincia,Código comuna,Años de escolaridad promedio,edad_min,edad_max
3,32.0,3201.0,7.6,75,79.0
3,32.0,3201.0,6.2,80,84.0
3,32.0,3201.0,5.5,85,
3,32.0,3202.0,0,0,4.0
3,32.0,3202.0,1.6,5,9.0
3,32.0,3202.0,6.1,10,14.0
3,32.0,3202.0,10.4,15,19.0
3,32.0,3202.0,12.7,20,24.0
3,32.0,3202.0,13.4,25,29.0
3,32.0,3202.0,13.2,30,34.0
3,32.0,3202.0,13.2,35,39.0
3,32.0,3202.0,13,40,44.0
3,32.0,3202.0,12.4,45,49.0
3,32.0,3202.0,12.1,50,54.0
3,32.0,3202.0,11.2,55,59.0
3,32.0,3202.0,10.5,60,64.0
3,32.0,3202.0,9.6,65,69.0
3,32.0,3202.0,8.6,70,74.0
3,32.0,3202.0,6.4,75,79.0
3,32.0,3202.0,5.7,80,84.0
3,32.0,3202.0,4.3,85,
3,33.0,3301.0,0,0,4.0
3,33.0,3301.0,1.5,5,9.0
3,33.0,3301.0,6,10,14.0
3,33.0,3301.0,10.4,15,19.0
3,33.0,3301.0,12.7,20,24.0
3,33.0,3301.0,13.4,25,29.0
3,33.0,3301.0,13.2,30,34.0
3,33.0,3301.0,13.2,35,39.0
3,33.0,3301.0,12.6,40,44.0
3,33.0,3301.0,12.1,45,49.0
3,33.0,3301.0,11.5,50,54.0
3,33.0,3301.0,10.7,55,59.0
3,33.0,3301.0,10,60,64.0
3,33.0,3301.0,9.4,65,69.0
3,33.0,3301.0,8.7,70,74.0
3,33.0,3301.0,7.3,75,79.0
3,33.0,3301.0,6.6,80,84.0
3,33.0,3301.0,5.4,85,
3,33.0,3302.0,0,0,4.0
3,33.0,3302.0,1.6,5,9.0
3,33.0,3302.0,6,10,14.0
3,33.0,3302.0,10.5,15,19.0
3,33.0,3302.0,12.7,20,24.0
3,33.0,3302.0,12.7,25,29.0
3,33.0,3302.0,12.5,30,34.0
3,33.0,3302.0,12.4,35,39.0
3,33.0,3302.0,11.3,40,44.0
3,33.0,3302.0,10.7,45,49.0
3,33.0,3302.0,9.8,50,54.0
3,33.0,3302.0,9.6,55,59.0
3,33.0,3302.0,8.5,60,64.0
3,33.0,3302.0,7.8,65,69.0
3,33.0,3302.0,7.2,70,74.0
3,33.0,3302.0,5.7,75,79.0
3,33.0,3302.0,4.9,80,84.0
3,33.0,3302.0,3.4,85,
3,33.0,3303.0,0,0,4.0
3,33.0,3303.0,1.5,5,9.0
3,33.0,3303.0,6,10,14.0
3,33.0,3303.0,10.5,15,19.0
3,33.0,3303.0,12.6,20,24.0
3,33.0,3303.0,13,25,29.0
3,33.0,3303.0,12.7,30,34.0
3,33.0,3303.0,12.6,35,39.0
3,33.0,3303.0,11.8,40,44.0
3,33.0,3303.0,11.3,45,49.0
3,33.0,3303.0,10.4,50,54.0
3,33.0,3303.0,9.9,55,59.0
3,33.0,3303.0,8.8,60,64.0
3,33.0,3303.0,8.3,65,69.0
3,33.0,3303.0,7.5,70,74.0
3,33.0,3303.0,5.9,75,79.0
3,33.0,3303.0,5.5,80,84.0
3,33.0,3303.0,4.4,85,
