Código región,Código provincia,Código comuna,Grupos de edad,Población censada,Hombres,Mujeres
2,21.0,2102.0,30 a 34,1385.0,668.0,717.0
2,21.0,2102.0,35 a 39,1149.0,574.0,575.0
2,21.0,2102.0,40 a 44,917.0,443.0,474.0
2,21.0,2102.0,45 a 49,809.0,382.0,427.0
2,21.0,2102.0,50 a 54,696.0,332.0,364.0
2,21.0,2102.0,55 a 59,672.0,339.0,333.0
2,21.0,2102.0,60 a 64,653.0,324.0,329.0
2,21.0,2102.0,65 a 69,486.0,268.0,218.0
2,21.0,2102.0,70 a 74,286.0,139.0,147.0
2,21.0,2102.0,75 a 79,186.0,85.0,101.0
2,21.0,2102.0,80 a 84,99.0,35.0,64.0
2,21.0,2102.0,85 o más,56.0,23.0,33.0
2,21.0,2103.0,0 a 4,99.0,56.0,43.0
2,21.0,2103.0,5 a 9,127.0,67.0,60.0
2,21.0,2103.0,10 a 14,139.0,74.0,65.0
2,21.0,2103.0,15 a 19,115.0,59.0,56.0
2,21.0,2103.0,20 a 24,111.0,54.0,57.0
2,21.0,2103.0,25 a 29,114.0,52.0,62.0
2,21.0,2103.0,30 a 34,132.0,52.0,80.0
2,21.0,2103.0,35 a 39,131.0,54.0,77.0
2,21.0,2103.0,40 a 44,104.0,52.0,52.0
2,21.0,2103.0,45 a 49,84.0,31.0,53.0
2,21.0,2103.0,50 a 54,84.0,41.0,43.0
2,21.0,2103.0,55 a 59,72.0,44.0,28.0
2,21.0,2103.0,60 a 64,58.0,29.0,29.0
2,21.0,2103.0,65 a 69,36.0,12.0,24.0
2,21.0,2103.0,70 a 74,29.0,11.0,18.0
2,21.0,2103.0,75 a 79,21.0,12.0,9.0
2,21.0,2103.0,80 a 84,7.0,4.0,3.0
2,21.0,2103.0,85 o más,9.0,3.0,6.0
2,21.0,2104.0,0 a 4,612.0,317.0,295.0
2,21.0,2104.0,5 a 9,839.0,415.0,424.0
2,21.0,2104.0,10 a 14,952.0,495.0,457.0
2,21.0,2104.0,15 a 19,902.0,480.0,422.0
2,21.0,2104.0,20 a 24,754.0,384.0,370.0
2,21.0,2104.0,25 a 29,894.0,441.0,453.0
2,21.0,2104.0,30 a 34,987.0,516.0,471.0
2,21.0,2104.0,35 a 39,898.0,447.0,451.0
2,21.0,2104.0,40 a 44,789.0,377.0,412.0
2,21.0,2104.0,45 a 49,710.0,340.0,370.0
2,21.0,2104.0,50 a 54,746.0,355.0,391.0
2,21.0,2104.0,55 a 59,743.0,381.0,362.0
2,21.0,2104.0,60 a 64,699.0,346.0,353.0
2,21.0,2104.0,65 a 69,573.0,286.0,287.0
2,21.0,2104.0,70 a 74,436.0,222.0,214.0
2,21.0,2104.0,75 a 79,269.0,127.0,142.0
2,21.0,2104.0,80 a 84,156.0,88.0,68.0
2,21.0,2104.0,85 o más,138.0,46.0,92.0
2,22.0,2201.0,0 a 4,9243.0,4727.0,4516.0
2,22.0,2201.0,5 a 9,12035.0,6182.0,5853.0
2,22.0,2201.0,10 a 14,13512.0,6836.0,6676.0
2,22.0,2201.0,15 a 19,11717.0,6048.0,5669.0
2,22.0,2201.0,20 a 24,10934.0,5679.0,5255.0
2,22.0,2201.0,25 a 29,14017.0,7088.0,6929.0
2,22.0,2201.0,30 a 34,15574.0,7737.0,7837.0
2,22.0,2201.0,35 a 39,14116.0,6985.0,7131.0
2,22.0,2201.0,40 a 44,12249.0,5959.0,6290.0
2,22.0,2201.0,45 a 49,11021.0,5207.0,5814.0
2,22.0,2201.0,50 a 54,10120.0,4870.0,5250.0
2,22.0,2201.0,55 a 59,8666.0,4226.0,4440.0
2,22.0,2201.0,60 a 64,8086.0,3915.0,4171.0
2,22.0,2201.0,65 a 69,5747.0,2774.0,2973.0
2,22.0,2201.0,70 a 74,3958.0,1833.0,2125.0
2,22.0,2201.0,75 a 79,2606.0,1161.0,1445.0
2,22.0,2201.0,80 a 84,1541.0,635.0,906.0
2,22.0,2201.0,85 o más,1192.0,407.0,785.0
2,22.0,2202.0,0 a 4,6.0,2.0,4.0
2,22.0,2202.0,5 a 9,19.0,6.0,13.0
2,22.0,2202.0,10 a 14,23.0,14.0,9.0
2,22.0,2202.0,15 a 19,20.0,9.0,11.0
2,22.0,2202.0,20 a 24,12.0,7.0,5.0
2,22.0,2202.0,25 a 29,17.0,7.0,10.0
2,22.0,2202.0,30 a 34,21.0,11.0,10.0
2,22.0,2202.0,35 a 39,17.0,8.0,9.0
2,22.0,2202.0,40 a 44,18.0,7.0,11.0
2,22.0,2202.0,45 a 49,22.0,14.0,8.0
2,22.0,2202.0,50 a 54,16.0,9.0,7.0
2,22.0,2202.0,55 a 59,15.0,7.0,8.0
2,22.0,2202.0,60 a 64,15.0,8.0,7.0
2,22.0,2202.0,65 a 69,14.0,5.0,9.0
2,22.0,2202.0,70 a 74,4.0,2.0,2.0
2,22.0,2202.0,75 a 79,11.0,4.0,7.0
2,22.0,2202.0,80 a 84,5.0,2.0,3.0
2,22.0,2202.0,85 o más,1.0,0.0,1.0
2,22.0,2203.0,0 a 4,638.0,303.0,335.0
2,22.0,2203.0,5 a 9,710.0,368.0,342.0
2,22.0,2203.0,10 a 14,710.0,380.0,330.0
2,22.0,2203.0,15 a 19,567.0,278.0,289.0
2,22.0,2203.0,20 a 24,637.0,308.0,329.0
2,22.0,2203.0,25 a 29,880.0,407.0,473.0
