Periodo,Comuna,Cantidad_40%,Cantidad_41-50%,Cantidad_51-60%,Cantidad_61-70,Cantidad_71-80%,Cantidad_81-90%,Cantidad_91-100%,Totales_por_comuna
202309,8110,63377,12082,12569,11961,15153,21637,8648,145427
202309,8107,25964,4367,4067,3520,4374,5255,1922,49469
202309,8108,54243,9557,8892,8543,10313,18996,7683,118227
202309,8207,8920,767,574,381,474,540,198,11854
202309,8111,32735,4939,4540,3732,4372,5636,2080,58034
202309,8112,41170,8261,7776,7279,9043,12609,4775,90913
202309,8206,16020,1905,1686,1349,1568,1878,663,25069
202309,8105,16049,2401,2148,1667,1859,2131,584,26839
202309,8203,25857,2734,2098,1696,1815,2385,950,37535
202309,8204,4462,516,381,276,311,398,155,6499
202309,8202,21194,3057,2793,2673,2996,4287,1651,38651
202309,8109,9724,1287,1174,812,1103,1218,429,15747
202309,8301,111297,17934,16246,14880,17752,25501,9590,213200
202309,8106,24307,4506,4608,3476,3924,4086,1268,46175
202309,7110,7368,900,748,692,725,790,261,11484
202309,7303,4422,662,489,442,497,728,279,7519
202309,7304,29343,4663,4023,3374,3353,3722,1051,49529
202309,7201,29233,3567,3183,2418,2736,3408,1364,45909
202309,7301,89000,13650,11896,10181,11452,16310,6016,158505
202309,7302,7570,752,586,544,562,768,271,11053
202309,7402,16554,1630,1546,1260,1520,1720,700,24930
