Código región,Código provincia,Código comuna,Total de mujeres de 15 años o más,Mujeres con hijos o hijas,Mujeres sin hijos o hijas,Mujeres con fecundidad ignorada
10,103.0,10305.0,5905.0,4523.0,1356.0,26.0
10,103.0,10306.0,3202.0,2509.0,687.0,6.0
10,103.0,10307.0,4649.0,3508.0,1128.0,13.0
10,104.0,10401.0,1622.0,1228.0,373.0,21.0
10,104.0,10402.0,1249.0,927.0,317.0,5.0
10,104.0,10403.0,3773.0,2880.0,887.0,6.0
10,104.0,10404.0,811.0,633.0,176.0,2.0
11,111.0,11101.0,24154.0,17654.0,6348.0,152.0
11,111.0,11102.0,310.0,239.0,69.0,2.0
11,112.0,11201.0,9426.0,6963.0,2414.0,49.0
11,112.0,11202.0,2088.0,1576.0,505.0,7.0
11,112.0,11203.0,606.0,463.0,142.0,1.0
11,113.0,11301.0,1367.0,1038.0,326.0,3.0
11,113.0,11302.0,249.0,172.0,77.0,0.0
11,113.0,11303.0,183.0,135.0,48.0,0.0
11,114.0,11401.0,2010.0,1557.0,439.0,14.0
11,114.0,11402.0,1115.0,871.0,241.0,3.0
12,121.0,12101.0,56561.0,40230.0,15948.0,383.0
12,121.0,12102.0,71.0,40.0,30.0,1.0
12,121.0,12103.0,26.0,17.0,9.0,0.0
12,121.0,12104.0,79.0,68.0,11.0,0.0
12,122.0,12201.0,645.0,464.0,175.0,6.0
12,122.0,12202.0,4.0,2.0,0.0,2.0
12,123.0,12301.0,2592.0,1930.0,658.0,4.0
12,123.0,12302.0,153.0,127.0,26.0,0.0
12,123.0,12303.0,49.0,33.0,16.0,0.0
12,124.0,12401.0,10103.0,7213.0,2828.0,62.0
12,124.0,12402.0,75.0,51.0,23.0,1.0
