Código región,Código provincia,Código comuna,Grupos de edad,Años de escolaridad promedio
4,41.0,4106.0,0 a 4,0
4,41.0,4106.0,5 a 9,1.5
4,41.0,4106.0,10 a 14,6.1
4,41.0,4106.0,15 a 19,10.5
4,41.0,4106.0,20 a 24,12.8
4,41.0,4106.0,25 a 29,13.1
4,41.0,4106.0,30 a 34,12.9
4,41.0,4106.0,35 a 39,12.5
4,41.0,4106.0,40 a 44,12.1
4,41.0,4106.0,45 a 49,11.3
4,41.0,4106.0,50 a 54,10.9
4,41.0,4106.0,55 a 59,10
4,41.0,4106.0,60 a 64,9.7
4,41.0,4106.0,65 a 69,9.3
4,41.0,4106.0,70 a 74,8.5
4,41.0,4106.0,75 a 79,7.4
4,41.0,4106.0,80 a 84,6.4
4,41.0,4106.0,85 o más,5.8
4,42.0,4201.0,0 a 4,0
4,42.0,4201.0,5 a 9,1.5
4,42.0,4201.0,10 a 14,6.1
4,42.0,4201.0,15 a 19,10.4
4,42.0,4201.0,20 a 24,12.8
4,42.0,4201.0,25 a 29,13.4
4,42.0,4201.0,30 a 34,13.3
4,42.0,4201.0,35 a 39,12.9
4,42.0,4201.0,40 a 44,12.3
4,42.0,4201.0,45 a 49,11.6
4,42.0,4201.0,50 a 54,10.7
4,42.0,4201.0,55 a 59,9.9
4,42.0,4201.0,60 a 64,9.3
4,42.0,4201.0,65 a 69,9
4,42.0,4201.0,70 a 74,7.9
4,42.0,4201.0,75 a 79,6.7
4,42.0,4201.0,80 a 84,5.8
4,42.0,4201.0,85 o más,4.6
4,42.0,4202.0,0 a 4,0
4,42.0,4202.0,5 a 9,1.6
4,42.0,4202.0,10 a 14,6.2
4,42.0,4202.0,15 a 19,10.6
4,42.0,4202.0,20 a 24,12.8
